Transaction_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,Country,City,Segment,Product_Category,Product_Name,Quantity,Unit_Price,Currency,Discount,Shipping_Fee,Payment_Method,Order_Status,Customer_Rating,Acquisition_Channel,Device_Type,Is_Repeat_Customer,Last_Purchase_Date,Days_Since_Last_Purchase,Satisfaction_Level,Loyalty_Points,Customer_Email,Customer_Phone,Notes
TXN-00011,29/05/2024,CUST 0317,ola etisi,Other,46,Canada,Ottawa,VIP,Elec,Keyboard,3,388,EUR,0,20,Transfer,,5,Website,Mobile,No,2024-12-23,203,Unhappy,10,ola.etisi@gmail.com,08036346644,Wrong phone
TXN-00012,1/21/24,CUST0040,Ifeoma  Bello,FEMALE,48,Canada,,,Fashion,Hoodie,7,79024,NGN,500,10,,,1,Walk-in,Tablet,,8/7/25,343,Happy,120,,,High-value cart
TXN-00013,"May 07, 2024",CUST-0482,I. Ibrahim,,19,United States,Houston,wholesale,electronics,Webcam,6,95853,NGN,50,15,Cash,Completed,1,WhatsApp,Desktop,yes,6/11/25,279,,1000,ibrahim.ibrahimmail.com,8031802018,Repeat order
TXN-00014,11/25/25,CUST 0448,Z. Thomas,,29,Canada,Calgary,,electronics,Webcam,7,161429,NGN,0,500,card,COMPLETE,2,,Mobile,yes,"Mar 21, 2025",30,Happy,200,zainab.thomas@yahoo.com,+2348031522452,
TXN-00015,"Jul 17, 2025",cust-0036,Chinedu Johnson,Female,42,Germany,Berlin,Wholesale,Home,Bedsheet,8,278,GBP,2500,2500,Wallet,Completed,4,Referral,Tablet,No,10/19/24,70,Happy,350,,8036361793,Late payment
TXN-00016,07/11/2024,cust-0308,T. Etisi,FEMALE,68,United States,New York,Rtl,Fashion,Backpack,1,153519,NGN,0,500,POS,Pending,4,Referral,Tablet,no,"Jun 13, 2025",283,Neutral,20,tunde.etisi@gmail.com,,Requested refund
TXN-00017,20/04/2025,CUST0166,A. Williams,Female,36,Nigeria,Port Harcourt,VIP,fashion,T-Shirt,3,165,USD,0,0,,Pending,2,Facebook,Mobile,,11/5/24,351,,10,amina.williams@yahoo.com,0803-837-5356,Bought during promo
TXN-00018,5/21/25,cust-0349,JOY ADEYEMI,FEMALE,40,Canada,Toronto,VIP,Home,Blender,8,121358,NGN,1000,10,Bank Transfer,,5,TikTok,Desktop,,11/11/24,,,50,joy.adeyemimail.com,08031816348,Repeat order
TXN-00019,22/11/2024,CUST-0293,Blessing Umeh,,41,Canada,,Retail,Fashion,Wrist Watch,5,135687,NGN,35,500,Cash,Returned,5,TikTok,Desktop,no,2024-02-16,171,,20,,8033345135,
TXN-00020,"Jul 31, 2024",CUST0403,Kemi U.,Other,49,Germany,Munich,Retail,electronics,Earbuds,5,312,GBP,35,1500,Card,completed,4,Website,,Yes,"Mar 27, 2025",212,Neutral,800,,+2348032044906,High-value cart
TXN-00021,"Oct 04, 2024",CUST 0679,Blessing U.,,52,United States,New York,,fashion,Jeans,4,314,CAD,1000,1500,,COMPLETE,3,WhatsApp,,no,"May 29, 2024",,Happy,350,blessing.umeh@,+2348034590102,High-value cart
TXN-00022,2024-11-01,CUST-0141,Ngozi A.,FEMALE,60,Germany,Berlin,Retail,Home,Table Lamp,8,205551,NGN,35,15,,,1,Referral,Desktop,Yes,6/28/24,91,Happy,200,ngozi.adeyemi@yahoo.com,08035856449,Fast delivery
TXN-00023,10/12/2025,CUST0344,Chinedu  Ibrahim,FEMALE,26,Germany,Munich,,Elec,Smart Watch,5,353,USD,35,1500,Cash,Pending,5,TikTok,Mobile,No,2024-09-11,121,,120,,8031191859,Wrong phone
TXN-00024,8/20/25,CUST-0064,Joy  Williams,Other,63,United States,New York,SME,Fashion,Hoodie,3,122769,NGN,35,1500,Wallet,Cancelled,,,Tablet,,,,Neutral,20,,08038412854,VIP buyer
TXN-00025,7/1/24,CUST 0094,Chioma Adeyemi,,54,Nigeria,Enugu,,Electronics,Laptop Stand,5,303,GBP,5,5,Transfer,Completed,,,mobile,No,10/23/25,196,,200,,8033231198,Late payment
TXN-00026,26/05/2024,cust-0542,N. Adeyemi,Female,37,Canada,Calgary,Corporate,Fashion,Hoodie,8,75759,NGN,35,10,Card,Completed,,Instagram,Mobile,No,27/02/2024,149,Neutral,800,,+2348036379867,Repeat order
TXN-00027,2025-11-20,CUST0424,OLA OJO,Male,65,United Kingdom,Birmingham,VIP,Home,Table Lamp,7,216,GBP,5,1000,,completed,4,Instagram,mobile,No,18/09/2024,41,,10,ola.ojo@yahoo.com,8031864641,Email bounced
TXN-00028,"Jul 19, 2024",cust-0075,Emeka O.,FEMALE,31,United States,Atlanta,Retail,Fashion,Sneakers,8,253,EUR,2500,2500,Bank Transfer,Pending,5,,mobile,yes,"Jan 14, 2025",289,Neutral,0,,8038005797,Requested refund
TXN-00029,1/7/24,CUST 0236,Ada T.,Female,61,United States,Atlanta,Corp,Beauty,Perfume,3,78,GBP,15,0,Card,Completed,1,Facebook,Desktop,No,,,,800,,0803-910-6820,Fast delivery
TXN-00030,"Mar 20, 2025",CUST-0013,Joy J.,FEMALE,19,Germany,Hamburg,,Elec,Keyboard,2,66668,NGN,2500,2500,Bank Transfer,Returned,2,WhatsApp,Mobile,Yes,,,,350,joy.johnson@gmail.com,08033875339,Bought during promo
TXN-00031,"Oct 11, 2025",CUST-0580,Michael N.,Male,62,Germany,Munich,retail,fashion,T-Shirt,3,611,CAD,0,10,Transfer,Cancelled,4,TikTok,Desktop,Yes,2024-12-20,119,Happy,800,,8037655572,Fast delivery
TXN-00032,27/03/2024,CUST 0462,ibrahim aliyu,Other,29,Germany,Hamburg,,Fashion,Sneakers,2,103114,NGN,2500,500,,COMPLETE,1,Website,mobile,,2024-04-15,284,Happy,120,ibrahim.aliyu@gmail.com,0803-589-6386,Email bounced
TXN-00033,10/14/24,cust-0586,K. Thomas,,35,Canada,Toronto,Corporate,fashion,Jeans,2,68142,NGN,0,1000,,Returned,3,,,yes,12/12/2025,91,,80,kelvin.thomas@,8035067204,Email bounced
TXN-00034,7/30/25,CUST-0374,Fatima E.,Female,61,Germany,Berlin,Corp,Fashion,Backpack,5,519,EUR,35,2500,Wallet,completed,1,,mobile,,12/9/25,185,Happy,50,fatima.etisimail.com,,Fast delivery
TXN-00035,24/11/2025,CUST 0340,Chinedu Umeh,Male,65,Germany,Hamburg,vip,Home,Bedsheet,8,84,GBP,10,500,POS,Completed,2,TikTok,mobile,,2025-05-02,357,,80,chinedu.umeh@gmail.com,8031378915,Late payment
TXN-00036,24/09/2025,cust-0250,Esther N.,Female,47,United Kingdom,Manchester,RETAIL,Home Goods,Storage Basket,1,237,GBP,0,1500,Wallet,Pending,,Referral,,yes,"Apr 26, 2024",251,Unhappy,800,esther.nnamdi@gmail.com,8036837206,Bought during promo
TXN-00037,"Feb 03, 2024",CUST0690,Fatima I.,male,25,United Kingdom,Manchester,sme,Grocery,Olive Oil,7,400,USD,35,20,Cash,Returned,4,Instagram,Mobile,No,7/29/25,252,,350,fatima.ibrahim@gmail.com,+2348031517756,Repeat order
TXN-00038,"Jun 29, 2025",CUST0231,blessing bello,,49,Germany,Hamburg,retail,Grocery,Olive Oil,1,118,GBP,50,1500,POS,Completed,1,,Mobile,No,"Aug 25, 2025",313,,20,blessing.bello@yahoo.com,,Wrong phone
TXN-00039,11/02/2025,cust-0612,KEMI ADEYEMI,FEMALE,50,Nigeria,Abuja,,Electronics,USB Cable,3,263,USD,35,10,,Pending,4,Referral,Mobile,yes,1/12/25,168,Happy,10,kemi.adeyemi@,08037009980,High-value cart
TXN-00040,2025-05-03,cust-0440,Peace  Ojo,Other,53,Germany,Berlin,Corp,Electronics,Wireless Mouse,2,478,USD,10,15,Card,Returned,2,WhatsApp,Tablet,yes,15/01/2025,,Unhappy,50,peace.ojo@gmail.com,08032596917,VIP buyer
TXN-00041,12/25/24,cust-0136,Ada M.,FEMALE,,United States,Houston,Corporate,Beauty,Body Lotion,4,195065,NGN,1000,1000,Bank Transfer,,2,Referral,Mobile,No,06/08/2024,316,,10,ada.musa@yahoo.com,,Email bounced
TXN-00042,10/20/24,cust-0323,ruth johnson,Other,56,Germany,Hamburg,,Electronics,USB Cable,4,137068,NGN,35,0,Wallet,Completed,1,Instagram,Tablet,,13/07/2025,38,Happy,0,ruth.johnson@gmail.com,0803-201-4499,High-value cart
TXN-00043,2025-06-20,CUST 0434,Samuel Abdullahi,FEMALE,35,Nigeria,Port Harcourt,Rtl,Elec,Smart Watch,7,75,USD,0,1500,Transfer,Completed,3,Website,Desktop,No,"Dec 21, 2024",65,Unhappy,10,samuel.abdullahi@gmail.com,0803-662-0552,Repeat order
TXN-00044,"Oct 16, 2024",CUST-0270,Emeka  Balogun,,,Germany,Berlin,SME,electronics,Phone Charger,1,229711,NGN,2500,10,Cash,,4,Walk-in,mobile,yes,"Mar 20, 2024",345,Happy,500,,08037726402,Bought during promo
TXN-00045,10/14/25,CUST-0336,John O.,,54,United States,New York,Corp,Beauty,Body Lotion,4,247922,NGN,2500,0,,Pending,3,Referral,Desktop,Yes,"May 25, 2024",119,,120,john.ojo@gmail.com,,Requested refund
TXN-00046,"Feb 20, 2024",CUST-0077,Fatima  Balogun,FEMALE,34,United States,Atlanta,wholesale,Beauty,Perfume,4,56639,NGN,0,1000,,Returned,2,,Tablet,Yes,"Dec 03, 2025",357,Happy,120,fatima.balogun@yahoo.com,0803-696-8373,High-value cart
TXN-00047,11/30/25,cust-0267,Joy Bello,,53,United Kingdom,London,,electronics,Phone Charger,1,418,EUR,35,500,POS,,,,Mobile,yes,,,,800,joy.bello@,08039323619,Email bounced
TXN-00048,01/01/2025,CUST0177,femi balogun,Female,27,Nigeria,Enugu,Rtl,Beauty,Perfume,8,76841,NGN,35,20,Wallet,,,Facebook,Tablet,no,"Aug 02, 2025",93,Happy,50,femi.balogunmail.com,0803-198-2997,High-value cart
TXN-00049,23/08/2025,CUST-0164,tunde ahmed,FEMALE,68,Nigeria,Abuja,,Elec,Keyboard,4,375,USD,20,1000,Wallet,,3,Website,Mobile,,6/23/25,,Neutral,120,tunde.ahmedmail.com,08031999183,Requested refund
TXN-00050,2025-04-02,CUST0114,Michael Onyeka,Other,55,Nigeria,Port Harcourt,RETAIL,Home Goods,Storage Basket,6,150818,NGN,1000,2500,Cash,Completed,4,Instagram,Tablet,,2025-08-02,73,Unhappy,50,michael.onyekamail.com,08033816683,Wrong phone
TXN-00051,2024-06-09,cust-0272,daniel ojo,,24,Nigeria,Lagos,wholesale,Elec,Smart Watch,8,111,EUR,20,1500,Cash,,3,WhatsApp,Mobile,no,2024-03-17,315,,200,,,Email bounced
TXN-00052,"Apr 21, 2025",CUST0104,victor ibrahim,Female,64,Germany,Munich,SME,Electronics,Laptop Stand,8,98089,NGN,35,15,Wallet,completed,1,,Tablet,no,"Nov 07, 2025",279,,200,victor.ibrahim@,8031748547,Bought during promo
TXN-00053,3/30/24,CUST0232,Seyi O.,Male,24,Nigeria,Kano,VIP,Fashion,Sneakers,7,358,GBP,500,15,POS,,5,Website,mobile,No,16/07/2024,,Happy,200,seyi.okafor@yahoo.com,8035326615,Late payment
TXN-00054,"Nov 06, 2024",CUST 0570,Fatima T.,Other,18,Germany,Hamburg,Corporate,Elec,Keyboard,2,558,CAD,2500,10,POS,Returned,2,WhatsApp,,no,,,Unhappy,0,fatima.thomasmail.com,08037248518,Wrong phone
TXN-00055,2025-11-28,CUST 0288,F. Eze,FEMALE,26,United States,New York,sme,Home Goods,Cookware Set,4,242950,NGN,2500,0,Cash,Pending,5,Instagram,Desktop,No,,,Happy,50,fatima.eze@,0803-947-4614,Late payment
TXN-00056,11/5/24,CUST0248,Peace  Balogun,male,48,Germany,Hamburg,RETAIL,fashion,T-Shirt,5,16515,NGN,35,1500,Wallet,Returned,1,,Desktop,Yes,"Sep 14, 2025",364,Unhappy,200,peace.balogun@,+2348035227836,Bought during promo
TXN-00057,23/06/2024,CUST-0599,Esther Adebayo,male,41,Germany,Hamburg,SME,electronics,Earbuds,2,75978,NGN,35,2500,Wallet,,,Facebook,Desktop,no,9/22/24,19,Neutral,50,esther.adebayo@,,Repeat order
TXN-00058,2024-07-03,CUST-0301,Fatima  Adebayo,Female,53,United Kingdom,Birmingham,Wholesale,Home,Blender,5,235980,NGN,1000,15,Transfer,,5,Referral,Desktop,no,2025-02-27,78,Neutral,120,,+2348038676774,Wrong phone
TXN-00059,"Nov 01, 2024",CUST0500,P. Abdullahi,Female,,Canada,Ottawa,,Elec,Smart Watch,2,117194,NGN,5,0,Card,Pending,,TikTok,,Yes,11/09/2024,177,Unhappy,200,peace.abdullahimail.com,08033802133,Fast delivery
TXN-00060,03/10/2024,CUST0467,Ngozi  Thomas,FEMALE,49,United States,Houston,,Fashion,Hoodie,3,9244,NGN,50,0,Bank Transfer,COMPLETE,5,Instagram,,Yes,2025-01-24,243,Neutral,1000,ngozi.thomasmail.com,08038061051,High-value cart
TXN-00061,"Nov 24, 2025",CUST-0429,David A.,FEMALE,68,Nigeria,Ibadan,Rtl,Grocery,Rice Bag,6,172,USD,50,15,card,Completed,5,,Mobile,Yes,"Apr 13, 2024",234,Unhappy,0,david.adeyemi@yahoo.com,8031661769,Wrong phone
TXN-00062,2/25/25,CUST-0437,Zainab Adeyemi,,59,United Kingdom,Manchester,Corp,fashion,T-Shirt,6,212,GBP,1000,10,,Pending,2,Instagram,Desktop,,8/5/25,195,Unhappy,1000,zainab.adeyemi@yahoo.com,0803-910-4731,Late payment
TXN-00063,7/17/25,CUST-0048,KEMI THOMAS,FEMALE,61,Germany,Hamburg,vip,Home,Table Lamp,2,193987,NGN,35,10,Cash,Cancelled,1,Website,mobile,No,,,,120,,,VIP buyer
TXN-00064,2025-01-17,cust-0413,Ada Thomas,,23,Canada,Ottawa,Corp,Electronics,Wireless Mouse,7,149548,NGN,20,2500,Wallet,Returned,1,Walk-in,Tablet,,"Nov 03, 2025",59,Happy,50,ada.thomasmail.com,,High-value cart
TXN-00065,15/09/2025,cust-0047,Femi  Ojo,Female,44,Nigeria,Port Harcourt,Rtl,Home Goods,Cookware Set,8,62,GBP,35,500,,Cancelled,4,Instagram,Mobile,no,09/05/2025,89,Neutral,1000,femi.ojomail.com,0803-945-7564,Email bounced
TXN-00066,"Mar 04, 2024",CUST 0281,NGOZI UMEH,Other,44,Germany,Hamburg,VIP,Grocery,Olive Oil,4,167121,NGN,0,1000,card,,5,Facebook,,no,2025-06-19,,,0,ngozi.umeh@yahoo.com,8035808610,Requested refund
TXN-00067,"Oct 12, 2024",CUST-0209,NGOZI THOMAS,,65,Germany,Berlin,VIP,Grocery,Coffee Jar,5,398,USD,15,0,Card,completed,4,Walk-in,Tablet,,20/07/2024,91,Happy,20,ngozi.thomas@gmail.com,08037328336,Email bounced
TXN-00068,2025-01-25,cust-0134,Daniel B.,,27,Nigeria,Abuja,vip,fashion,Jeans,6,189014,NGN,15,500,Cash,Cancelled,2,TikTok,Tablet,,2025-07-28,178,,1000,,08035090740,Wrong phone
TXN-00069,2/1/25,CUST0396,Michael O.,FEMALE,67,United States,New York,Corp,fashion,T-Shirt,6,28654,NGN,0,1500,Wallet,Returned,4,Referral,,yes,,,,80,,8034819259,Email bounced
TXN-00070,1/6/24,CUST 0646,Michael  Nwosu,,52,Nigeria,Kano,retail,Electronics,Wireless Mouse,6,631,CAD,0,2500,,,5,Walk-in,mobile,,11/10/2025,332,Unhappy,0,,08033371859,Fast delivery
TXN-00071,"Aug 02, 2025",CUST-0551,OLA ALIYU,Female,40,United Kingdom,Manchester,VIP,Elec,Keyboard,5,51041,NGN,10,20,Transfer,Completed,5,,Tablet,No,,,Happy,120,ola.aliyumail.com,,Requested refund
TXN-00072,"Aug 26, 2025",CUST 0324,kemi balogun,Male,63,Canada,Ottawa,RETAIL,Home,Bedsheet,8,206600,NGN,35,500,POS,completed,1,Referral,,,27/08/2025,283,Unhappy,500,kemi.balogun@yahoo.com,0803-713-7418,VIP buyer
TXN-00073,2025-01-09,CUST 0138,Esther O.,male,18,United Kingdom,Birmingham,,Beauty,Body Lotion,3,157,USD,0,1500,,COMPLETE,,Walk-in,Tablet,no,"Feb 10, 2024",267,Unhappy,80,,0803-391-6715,Email bounced
TXN-00074,27/02/2024,CUST0530,Chinedu  Okafor,Female,40,Canada,Ottawa,Retail,Elec,Smart Watch,3,138383,NGN,0,5,Transfer,Returned,4,,,no,,,Happy,800,,,Requested refund
TXN-00075,08/05/2025,cust-0265,David O.,,19,United States,Houston,vip,Beauty,Body Lotion,4,194,EUR,35,20,POS,Pending,5,Referral,mobile,Yes,5/31/25,311,Happy,800,,08039444462,Late payment
TXN-00076,2/27/25,CUST-0618,N. Nnamdi,FEMALE,20,Germany,Munich,,Home Goods,Storage Basket,2,70220,NGN,1000,20,Bank Transfer,Completed,5,Referral,mobile,yes,19/04/2024,300,Unhappy,500,ngozi.nnamdimail.com,0803-562-3138,VIP buyer
TXN-00077,2025-03-25,CUST0184,Moses O.,male,54,United States,New York,RETAIL,electronics,Webcam,4,186820,NGN,5,5,Card,,,Website,,Yes,2025-01-14,197,,500,,+2348031964069,Bought during promo
TXN-00078,"Aug 11, 2025",CUST0207,david balogun,Male,62,United Kingdom,Birmingham,Retail,Electronics,Bluetooth Speaker,2,425,CAD,20,1500,Card,Completed,5,TikTok,Tablet,No,2025-02-17,209,Happy,500,david.balogun@gmail.com,8039611521,High-value cart
TXN-00079,26/07/2024,CUST 0454,Sarah E.,,67,Canada,Calgary,vip,Beauty,Body Lotion,5,169610,NGN,5,5,Card,COMPLETE,,TikTok,Desktop,yes,"Aug 10, 2025",350,Neutral,50,sarah.eze@yahoo.com,+2348035452763,VIP buyer
TXN-00080,"Nov 29, 2024",CUST0634,ola adebayo,Male,,Canada,,VIP,Beauty,Perfume,6,234445,NGN,0,20,POS,,,Facebook,,yes,03/12/2025,62,,0,ola.adebayo@yahoo.com,,Late payment
TXN-00081,9/17/24,CUST0628,kelvin ibrahim,male,57,United States,Atlanta,Corporate,Home,Bedsheet,7,50656,NGN,50,2500,Wallet,,2,,Desktop,No,"Oct 07, 2025",154,Unhappy,800,kelvin.ibrahim@gmail.com,08033740422,VIP buyer
TXN-00082,1/6/25,CUST-0645,Victor  Balogun,FEMALE,53,Germany,Munich,Corporate,Fashion,Hoodie,5,179973,NGN,5,2500,,completed,3,Facebook,,Yes,,,Unhappy,120,victor.balogunmail.com,8037634639,Bought during promo
TXN-00083,18/05/2024,cust-0424,ola ojo,Male,34,Nigeria,Abuja,retail,Beauty,Face Wash,1,107574,NGN,1000,1000,Transfer,Returned,3,,Desktop,No,,,Unhappy,120,ola.ojo@,,Bought during promo
TXN-00084,3/22/24,CUST 0606,E. Ibrahim,FEMALE,51,Germany,Munich,Corp,electronics,Earbuds,5,71606,NGN,15,1000,card,,4,,mobile,,"Jan 08, 2024",288,,20,esther.ibrahim@,+2348037347794,Repeat order
TXN-00085,04/07/2024,cust-0641,Chinedu J.,male,36,Germany,Munich,retail,fashion,T-Shirt,8,511,USD,0,0,Card,Completed,4,Instagram,,No,11/15/24,238,Happy,20,chinedu.johnson@,,Bought during promo
TXN-00086,05/12/2025,CUST 0257,Femi Adeyemi,Male,42,Canada,Toronto,Retail,electronics,Webcam,4,182136,NGN,35,0,Transfer,Pending,1,Walk-in,Desktop,yes,,,Unhappy,200,femi.adeyemi@gmail.com,,Bought during promo
TXN-00087,10/15/25,CUST-0381,moses eze,Female,39,Nigeria,Lagos,RETAIL,electronics,Phone Charger,8,149868,NGN,0,10,card,COMPLETE,4,WhatsApp,mobile,No,11/27/24,307,Neutral,20,moses.ezemail.com,0803-715-9129,Fast delivery
TXN-00088,2025-10-16,CUST-0190,Kemi A.,Other,64,Nigeria,Kano,Corporate,Beauty,Face Wash,3,427,USD,0,20,,completed,,Referral,,no,"Jun 22, 2025",,Neutral,10,kemi.adebayo@yahoo.com,08039244416,Bought during promo
TXN-00089,1/15/25,CUST 0370,KEMI IBRAHIM,,51,Nigeria,Kano,SME,Fashion,Sneakers,2,402,USD,35,1500,Cash,Cancelled,,TikTok,mobile,No,7/17/25,337,Neutral,800,kemi.ibrahimmail.com,,Wrong phone
TXN-00090,6/26/24,CUST 0649,A. Adeyemi,Other,31,Canada,Calgary,SME,Beauty,Perfume,7,12586,NGN,0,2500,Card,completed,3,Website,mobile,No,19/08/2025,154,Happy,800,,8032295227,Bought during promo
TXN-00091,2/12/25,CUST-0591,Zainab U.,FEMALE,54,Canada,Toronto,,Home Goods,Storage Basket,2,399,EUR,1000,20,Card,Cancelled,2,Website,mobile,,02/04/2024,202,Neutral,10,zainab.umeh@gmail.com,8037697318,Late payment
TXN-00092,27/09/2025,cust-0134,Daniel  Balogun,male,54,United Kingdom,Birmingham,wholesale,Fashion,Sneakers,5,52,GBP,5,10,card,COMPLETE,3,Website,,no,2025-03-27,120,Neutral,20,daniel.balogun@gmail.com,08032885284,VIP buyer
TXN-00093,2025-05-11,CUST-0295,PEACE WILLIAMS,FEMALE,48,Nigeria,Port Harcourt,VIP,Grocery,Coffee Jar,5,166826,NGN,20,20,Card,Completed,5,WhatsApp,Mobile,yes,"Nov 06, 2025",10,Unhappy,1000,peace.williams@,08039531890,Wrong phone
TXN-00094,14/05/2024,cust-0191,Kelvin A.,,20,United Kingdom,Birmingham,Corp,Elec,Keyboard,6,317,USD,0,2500,Bank Transfer,,3,Walk-in,mobile,Yes,17/06/2025,294,Neutral,80,,0803-652-4481,High-value cart
TXN-00095,5/29/25,cust-0669,Michael B.,male,26,United States,New York,VIP,Home Goods,Cookware Set,3,149603,NGN,2500,1000,Card,Returned,3,Website,Mobile,Yes,"Sep 18, 2025",314,Neutral,50,michael.bellomail.com,0803-233-3376,Requested refund
TXN-00096,2/10/24,CUST0666,seyi umeh,,30,United Kingdom,London,Retail,Home Goods,Cookware Set,4,481,GBP,10,5,,Returned,,Facebook,mobile,,2025-06-21,232,,0,seyi.umeh@yahoo.com,,Email bounced
TXN-00097,2025-01-24,CUST-0529,john ibrahim,Other,67,United States,Atlanta,SME,Electronics,Power Bank,3,172871,NGN,0,20,Cash,COMPLETE,5,Walk-in,Mobile,No,2024-05-06,231,Unhappy,200,,0803-368-2671,High-value cart
TXN-00098,"Feb 26, 2024",CUST0175,Chinedu A.,FEMALE,27,United Kingdom,,SME,Beauty,Perfume,3,37990,NGN,10,15,,Completed,2,,mobile,,,,Unhappy,500,chinedu.abdullahi@yahoo.com,+2348031820721,Requested refund
TXN-00099,"Nov 20, 2024",cust-0038,Femi Ojo,FEMALE,39,Nigeria,Lagos,RETAIL,fashion,T-Shirt,8,54,GBP,2500,10,Transfer,,2,Referral,Tablet,no,13/12/2025,56,Happy,800,,0803-581-8203,
TXN-00100,12/12/24,CUST0539,michael adebayo,male,58,Canada,Ottawa,vip,fashion,T-Shirt,1,125366,NGN,5,10,Card,Cancelled,2,WhatsApp,Mobile,,2024-01-07,175,,800,,+2348033946567,Wrong phone
TXN-00101,"Aug 09, 2024",CUST-0486,Z. Nnamdi,Female,52,United States,Atlanta,Corporate,Electronics,Power Bank,5,331,USD,20,5,card,completed,,Facebook,Desktop,no,"Apr 29, 2024",162,Happy,10,zainab.nnamdi@yahoo.com,0803-723-4137,Repeat order
TXN-00102,"Oct 20, 2024",CUST-0180,CHIOMA OKAFOR,Male,46,Germany,Berlin,VIP,Home,Bedsheet,5,427,GBP,500,0,,,,Instagram,,yes,2024-02-17,338,,80,chioma.okafor@yahoo.com,+2348036383479,VIP buyer
TXN-00103,4/5/24,CUST0546,Samuel  Etisi,FEMALE,35,Nigeria,Lagos,VIP,Fashion,Wrist Watch,6,188142,NGN,0,2500,card,Completed,1,Referral,Mobile,No,8/29/25,160,Unhappy,1000,samuel.etisi@gmail.com,,Requested refund
TXN-00104,5/8/25,CUST 0100,CHINEDU ADEBAYO,FEMALE,48,United Kingdom,London,vip,Home,Bedsheet,3,346,USD,10,0,Transfer,COMPLETE,3,TikTok,Desktop,no,"Apr 19, 2024",37,Unhappy,200,chinedu.adebayo@yahoo.com,,Requested refund
TXN-00105,"Nov 28, 2025",CUST0068,chinedu okafor,FEMALE,45,Germany,Munich,Rtl,electronics,Webcam,8,159757,NGN,0,2500,Bank Transfer,Completed,4,TikTok,Mobile,No,2025-10-13,339,Neutral,80,,+2348038502096,VIP buyer
TXN-00106,5/13/25,CUST0307,Sarah  Ahmed,FEMALE,23,Germany,Berlin,VIP,Elec,Smart Watch,1,147386,NGN,1000,0,Wallet,Cancelled,4,Facebook,,No,7/11/24,185,,1000,sarah.ahmed@gmail.com,08032203698,Requested refund
TXN-00107,2025-10-07,CUST-0140,amina eze,FEMALE,68,Germany,Munich,Corp,Grocery,Olive Oil,7,52204,NGN,10,1500,POS,Cancelled,,Instagram,Tablet,no,22/03/2024,270,Unhappy,10,,+2348032483883,Bought during promo
